data;semanaEpi;Recuperadosnovos;emAcompanhamentoNovos
01/01/2022;52;21581668;90734
02/01/2022;1;21581717;92378
03/01/2022;1;21591847;94022
04/01/2022;1;21603954;100499
05/01/2022;1;21615473;116118
06/01/2022;1;21626836;140453
07/01/2022;1;21650151;180249
08/01/2022;1;21652319;227269
09/01/2022;2;21634074;269852
10/01/2022;2;21636133;302471
11/01/2022;2;21667147;342075
12/01/2022;2;21694064;402496
13/01/2022;2;21710831;483541
14/01/2022;2;21728937;577470
15/01/2022;2;21697818;656934
16/01/2022;3;21668942;710670
17/01/2022;3;21704050;749575
18/01/2022;3;21773085;817292
19/01/2022;3;21848301;946592
20/01/2022;3;21851922;1111116
21/01/2022;3;21844293;1284926
22/01/2022;3;21848302;1438072
23/01/2022;4;21849545;1571613
24/01/2022;4;21834758;1669481
25/01/2022;4;21926277;1761197
26/01/2022;4;22036168;1875303
27/01/2022;4;22098157;2041596
28/01/2022;4;22162914;2246008
29/01/2022;4;22159759;2428339
30/01/2022;5;22163750;2558193
31/01/2022;5;22196442;2603164
